year	home	favorite	underdog	spread	favorite.name	underdog.name	week
1984	1	19	16	6.5	SF	LAN	16
1984	1	3	10	9	NYG	NO	16
1984	1	14	31	4	SEA	DEN	16
1984	1	41	21	4	TB	NYJ	16
1984	1	16	10	10	NE	IND	16
1984	1	20	27	2	HOU	CLE	16
1984	1	29	27	6.5	WAS	PHX	16
1984	0	38	14	7.5	GB	MIN	16
1984	1	52	21	13.5	CIN	BUF	16
1984	1	13	30	0	DET	CHI	16
1984	1	21	42	2.5	SD	KC	16
1984	0	10	26	3	PHA	ATL	16
1984	1	7	13	6	LAA	PIT	16
1984	1	28	21	6.5	MIA	DAL	16
