Student	Height	Gender	Shoes	Number	Dvds	ToSleep	WakeUp	Haircut	Job	Drink
547	63	female	25	7	12	0	6.5	0	42	water
548	62	female	8	7	10	NA	1	10	0	pop
549	66	female	NA	4	NA	0	8	22	10	water
550	71	female	20	9	15	1	8	60	0	pop
551	64	female	15	7	30	1	7.5	35	0	water
552	62	female	20	3	36	1.5	7	15	0	water
553	67	female	25	3	50	-0.5	9.5	50	17	pop
554	67	female	21	3	10	0	9	10	0	milk
555	64	female	15	2	21	-1.5	6.5	35	35	water
556	63	female	30	7	7	3	8.5	100	15	water
557	62	female	18	8	35	-0.5	7	52	0	water
558	68	female	7	4	3	2.5	9	NA	20	water
559	60	female	20	5	NA	6	8.5	45	NA	NA
560	69	female	NA	1	10	2	7.5	80	NA	water
561	70	female	25	7	2	1.5	7.5	40	20	water
562	67	female	15	9	8	1.5	9.5	80	15	pop
563	67	female	16	8	30	1	7	30	0	pop
564	66	male	6	7	33	3.5	11.5	15	15	milk
565	70	male	7	2	100	1.5	10	15	15	water
566	72	male	10	7	10	3.5	9.5	10	5	milk
567	67.5	female	18	7	30	2	8	30	20	pop
568	70	male	3	3	30	0	8	0	11	pop
569	74	male	10	5	40	0	8	0	40	water
570	63	female	25	7	13	-0.5	6	15	0	water
571	62	female	15	8	9	2.5	9.5	113	0	water
572	64	female	27	2	8	3.5	12.5	60	25	pop
573	69	female	20	7	20	2.5	7	12	9	pop
574	64	female	15	9	20	-0.5	7.5	40	15	pop
575	75.5	male	13	5	15	1.5	11	10	0	pop
576	68	female	10	4	25	1.5	8.5	20	7.5	water
577	74	male	7	4	36	0	10	7	0	water
578	64	female	30	4	45	2	10	30	0	water
579	68	female	12	10	150	1.5	10	20	12	water
580	67	female	65	1	35	-0.5	10.5	17	10	water
581	69	female	34	7	6	2.5	6	0	24	pop
582	63	female	10	7	35	-0.5	8	30	0	pop
583	66	female	25	8	5	1	10	18	0	water
584	61	female	5	2	30	1	7	20	40	pop
585	62	male	3	6	10	-1.5	8.5	17	5	water
586	NA	female	25	7	30	-0.5	8.5	30	24	water
587	66	male	5	5	20	0.5	8	15	20	water
588	65	female	26	3	65	1.5	8	126	6	water
589	73	male	5	1	20	0	7.5	10	8	milk
590	70	male	5	6	1	0.5	6.5	5	20	water
591	71	male	9	7	14	1	6.5	5	10	water
592	61	female	30	8	20	1	12	100	0	water
593	63	female	50	2	25	3	12	65	0	water
594	64	female	15	5	30	2.5	10	50	10	pop
595	65	female	8	8	10	4	11	65	0	pop
596	65	female	12	7	10	1.5	8.5	12	10	water
597	70	male	29	7	50	4.5	10.5	0	0	water
598	69	female	20	7	40	2	8.5	40	NA	water
599	65	female	20	2	100	0.5	8.5	75	17.5	water
600	63	female	12	9	4	1.5	10	70	0	water
601	65	female	8	6	20	0	9	0	NA	water
602	66	female	5	4	12	2	9	30	0	water
603	68	female	53	7	21	-0.5	8	14	12	pop
604	61	female	6	7	5	0	7.5	20	0	water
605	NA	female	25	5	12	0.5	5	45	0	water
606	NA	female	10	7	8	3	12.5	43	22.5	NA
607	71.75	male	5	5	15	1	13	15	21	milk
608	NA	female	15	3	45	2.5	10	65	15	pop
609	66	female	10	6	20	0.5	8.5	35	0	water
610	68	female	30	4	15	0	8.5	45	0	water
611	65	female	5	4	50	0	8	30	15	water
612	60	female	15	7	15	1	10	15	12	pop
613	71	male	8	4	25	2	8	13	10	water
614	72	male	3	2	5	1	9	0	10	pop
615	73	male	3	7	15	1	10.5	0	15	water
616	64	female	10	6	15	-0.5	7.5	8.99	10	pop
617	69	female	70	5	30	0.5	9.5	14	30	water
618	64	female	15.5	8	5	1	7.5	85	0	water
619	72.5	male	5	6	25	0.5	10	12	12.5	pop
620	66	female	15	3	10	2	10.5	15	0	pop
621	67	female	6	7	150	-2	7	10	32.5	water
622	67	female	9	2	13	2.5	8	16	25	pop
623	66	male	5	7	8	0.5	8	0	5	water
624	72	male	5	10	0	2	8	16	0	milk
625	70	male	5	10	24	3	10.5	0	10	water
626	72	male	2	5	15	2.5	8	15	30	pop
627	64	female	15	7	10	1	10	6	NA	pop
628	64	female	10	5	15	2	8	0	6	pop
629	65	male	5	7	5	3	11.5	12	12.5	water
630	71	male	6	9	200	1.5	8.5	11	14	milk
631	71	male	4	4	50	-0.5	12	14	16	pop
632	70	male	6	4	40	1.5	9	0	0	water
633	71	male	4	7	27.5	0.5	8.5	17	15	pop
634	67	female	28	2	10	2	9	0	13	water
635	61	female	20	8	18	0.5	8	75	9	water
636	67	female	7	6	3	-1	8	20	0	milk
637	64	female	10	4	15	0.5	8	14.95	11	water
638	67	female	12	8	13	4	9	40	0	water
639	66.5	female	13	5	48	2.5	9	15	20	water
640	61	female	5	7	10	0	8.5	NA	10	water
641	63	female	10	3	6	1.5	11	11	0	water
642	66	female	24	3	12	-1	8	30	20	water
643	57.75	female	40	7	10	0	6.8	10	17.5	water
644	66	female	15	8	15	0.5	10	7	15	pop
645	64	female	25	5	1	1.5	12.5	25	0	pop
646	68	female	20	7	30	2	8.5	25	12.5	pop
647	67	female	10	3	2	0	7	35	10	pop
648	68	female	8	7	3	-0.5	7.5	0	20	water
649	65	female	15	5	60	4.5	11	25	25	pop
650	74	male	4	2	70	1.5	6.5	20	7	water
651	72	male	7	7	40	3.5	12.5	15	10	milk
652	68	female	30	6	4	0.5	9.5	20	15	water
653	71	female	15	8	25	-1	9	0	0	water
654	66	female	25	5	1	-1.5	9	0	12	pop
655	67	female	10	7	10	0	9.5	0	10	pop
656	68	male	3	5	15	2.5	7.7	15	20	pop
657	69	male	4	6	20	3.5	11.5	0	NA	water
